config,rmse,mae,p_at_10,r_at_10,ndcg_at_10,map_at_10,train_sec
baseline,1.1965935230255127,0.8780925273895264,0.8119412772129048,0.9553559416991783,0.9075087445194073,0.8823684235607576,3.2
LR-sent α=0.3,1.0952214002609253,0.848162055015564,0.6765564007220773,0.8975478778361675,0.818777095608498,0.7797922362404378,2.0
LR-sent α=0.5,1.0944494009017944,0.8218815922737122,0.7125125789236384,0.9140162379709216,0.8465249190837657,0.8118511530227608,2.0
LR-sent α=0.7,1.1209831237792969,0.8261492252349854,0.7425348481186045,0.927946563338913,0.864334696214429,0.8320337157365577,1.5
