model,accuracy,precision,recall,f1,auc,train_sec
LogReg+TFIDF,0.8196421675891363,0.6147929699659432,0.718098698012083,0.6445345151345826,0.9161764852175841,3.8
LinearSVM+TFIDF,0.8713862788003605,0.6538810080463536,0.6814244502060838,0.6667592852816334,,4.1
NaiveBayes+TFIDF,0.8736774359634445,0.7620045470556819,0.5320602713025466,0.5702797819743747,0.9128349972260125,0.2
DistilBERT(finetuned),0.8839535814325731,0.8498283633757945,0.5943862157154146,0.5959099955189923,0.9102027047098648,445.3
