config,rmse_cold,rmse_warm,n_cold,n_warm
baseline,1.2944450378417969,1.1856181621551514,3763,35082
LR-sent α=0.3,1.1746492385864258,1.0863568782806396,3763,35082
LR-sent α=0.5,1.1802533864974976,1.0848428010940552,3763,35082
LR-sent α=0.7,1.2145466804504395,1.1104791164398193,3763,35082
